2024-08-26T08:00:01.123+0000 I NETWORK  [initandlisten] waiting for connections on port 27017
2024-08-26T08:00:19.789+0000 I COMMAND  [conn2] command myapp.sessions command: remove { query: { expires: { $lt: ISODate("2024-08-26T08:00:19.789Z") } } } planSummary: IXSCAN { expires: 1 } keysExamined:500 docsExamined:500 nremoved:500 keyUpdates:500 writeConflicts:0 numYields:3 locks:{ Global: { acquireCount: { w: 8 } }, Database: { acquireCount: { w: 4 } }, Collection: { acquireCount: { w: 4 } } } protocol:op_msg 125ms
2024-08-26T08:00:20.012+0000 I NETWORK  [listener] connection accepted from 172.16.0.50:23456 #conn8 (7 connections now open)
2024-08-26T08:00:21.345+0000 I COMMAND  [conn8] command myapp.products command: find { name: { $regex: "laptop", $options: "i" } } planSummary: COLLSCAN keysExamined:0 docsExamined:25000 cursorExhausted:true numYields:195 nreturned:75 reslen:37500 locks:{ Global: { acquireCount: { r: 392 } }, Database: { acquireCount: { r: 196 } }, Collection: { acquireCount: { r: 196 } } } protocol:op_msg 2100ms
2024-08-26T08:00:22.678+0000 I NETWORK  [conn3] end connection 172.16.0.25:34567 (6 connections now open)
2024-08-26T08:00:23.901+0000 I COMMAND  [conn4] command myapp.users command: find { email: "john.doe@example.com" } planSummary: IXSCAN { email: 1 } keysExamined:1 docsExamined:1 cursorExhausted:true numYields:0 nreturned:1 reslen:500 locks:{ Global: { acquireCount: { r: 2 } }, Database: { acquireCount: { r: 1 } }, Collection: { acquireCount: { r: 1 } } } protocol:op_msg 3ms
2024-08-26T08:00:24.234+0000 I NETWORK  [listener] connection accepted from 198.51.100.10:44789 #conn9 (7 connections now open)
2024-08-26T08:00:25.567+0000 I COMMAND  [conn9] command myapp.orders command: find { userId: 123, status: { $in: ["pending", "processing"] } } planSummary: IXSCAN { userId: 1, status: 1 } keysExamined:50 docsExamined:50 cursorExhausted:true numYields:0 nreturned:5 reslen:2500 locks:{ Global: { acquireCount: { r: 2 } }, Database: { acquireCount: { r: 1 } }, Collection: { acquireCount: { r: 1 } } } protocol:op_msg 15ms
2024-08-26T08:00:26.890+0000 I COMMAND  [conn5] command myapp.products command: find { price: { $gte: 100, $lte: 500 } } planSummary: IXSCAN { price: 1 } keysExamined:1500 docsExamined:1500 cursorExhausted:true numYields:11 nreturned:300 reslen:150000 locks:{ Global: { acquireCount: { r: 24 } }, Database: { acquireCount: { r: 12 } }, Collection: { acquireCount: { r: 12 } } } protocol:op_msg 180ms
2024-08-26T08:00:27.123+0000 I NETWORK  [listener] connection accepted from 192.168.1.150:33445 #conn10 (8 connections now open)
2024-08-26T08:00:28.456+0000 I COMMAND  [conn10] command myapp.reviews command: insert { documents: [{ productId: "PROD001", userId: 456, rating: 5, comment: "Great product!" }] } ninserted:1 keyUpdates:0 writeConflicts:0 numYields:0 locks:{ Global: { acquireCount: { w: 2 } }, Database: { acquireCount: { w: 2 } }, Collection: { acquireCount: { w: 2 } } } protocol:op_msg 7ms
2024-08-26T08:00:29.789+0000 I COMMAND  [conn6] command myapp.analytics command: aggregate { pipeline: [{ $match: { category: "books" } }, { $sort: { sales: -1 } }, { $limit: 10 }] } planSummary: IXSCAN { category: 1 } keysExamined:2000 docsExamined:2000 hasSortStage:1 cursorExhausted:true numYields:15 nreturned:10 reslen:5000 locks:{ Global: { acquireCount: { r: 32 } }, Database: { acquireCount: { r: 16 } }, Collection: { acquireCount: { r: 16 } } } protocol:op_msg 450ms
2024-08-26T08:00:30.012+0000 I NETWORK  [conn2] end connection 10.0.0.15:43256 (7 connections now open)
2024-08-26T08:00:31.345+0000 I NETWORK  [listener] connection accepted from 203.0.113.100:56789 #conn11 (8 connections now open)
2024-08-26T08:00:32.678+0000 I COMMAND  [conn11] command myapp.users command: find { lastLogin: { $lt: ISODate("2024-08-19T00:00:00Z") } } planSummary: IXSCAN { lastLogin: 1 } keysExamined:5000 docsExamined:5000 cursorExhausted:true numYields:39 nreturned:1000 reslen:500000 locks:{ Global: { acquireCount: { r: 80 } }, Database: { acquireCount: { r: 40 } }, Collection: { acquireCount: { r: 40 } } } protocol:op_msg 950ms
2024-08-26T08:00:33.901+0000 I COMMAND  [conn7] command myapp.orders command: update { q: { _id: ObjectId("64e9b8c7f123456789abcd00") }, u: { $set: { status: "shipped", shippedAt: ISODate("2024-08-26T08:00:33.901Z") } } } planSummary: IDHACK keysExamined:1 docsExamined:1 nMatched:1 nModified:1 keyUpdates:2 writeConflicts:0 numYields:0 locks:{ Global: { acquireCount: { w: 2 } }, Database: { acquireCount: { w: 2 } }, Collection: { acquireCount: { w: 2 } } } protocol:op_msg 12ms
2024-08-26T08:00:34.234+0000 I NETWORK  [listener] connection accepted from 10.0.0.45:22334 #conn12 (9 connections now open)
2024-08-26T08:00:35.567+0000 I COMMAND  [conn12] command myapp.notifications command: find { userId: 789, read: false } planSummary: IXSCAN { userId: 1, read: 1 } keysExamined:20 docsExamined:20 cursorExhausted:true numYields:0 nreturned:15 reslen:7500 locks:{ Global: { acquireCount: { r: 2 } }, Database: { acquireCount: { r: 1 } }, Collection: { acquireCount: { r: 1 } } } protocol:op_msg 8ms
2024-08-26T08:00:36.890+0000 I COMMAND  [conn8] command myapp.products command: find { tags: { $in: ["smartphone", "android"] } } planSummary: IXSCAN { tags: 1 } keysExamined:800 docsExamined:800 cursorExhausted:true numYields:6 nreturned:120 reslen:60000 locks:{ Global: { acquireCount: { r: 14 } }, Database: { acquireCount: { r: 7 } }, Collection: { acquireCount: { r: 7 } } } protocol:op_msg 95ms
2024-08-26T08:00:37.123+0000 I NETWORK  [conn4] end connection 203.0.113.45:12345 (8 connections now open)
2024-08-26T08:00:38.456+0000 I NETWORK  [listener] connection accepted from 172.16.0.75:67890 #conn13 (9 connections now open)
2024-08-26T08:00:39.789+0000 I COMMAND  [conn13] command myapp.inventory command: aggregate { pipeline: [{ $match: { category: "clothing" } }, { $group: { _id: "$size", count: { $sum: 1 } } }] } planSummary: IXSCAN { category: 1 } keysExamined:3000 docsExamined:3000 cursorExhausted:true numYields:23 nreturned:8 reslen:400 locks:{ Global: { acquireCount: { r: 48 } }, Database: { acquireCount: { r: 24 } }, Collection: { acquireCount: { r: 24 } } } protocol:op_msg 320ms
2024-08-26T08:00:40.012+0000 I COMMAND  [conn9] command myapp.users command: update { q: { _id: ObjectId("64e9b8c7f123456789abcd01") }, u: { $inc: { loginCount: 1 } } } planSummary: IDHACK keysExamined:1 docsExamined:1 nMatched:1 nModified:1 keyUpdates:1 writeConflicts:0 numYields:0 locks:{ Global: { acquireCount: { w: 2 } }, Database: { acquireCount: { w: 2 } }, Collection: { acquireCount: { w: 2 } } } protocol:op_msg 6ms
2024-08-26T08:00:41.345+0000 I NETWORK  [listener] connection accepted from 127.0.0.1:61234 #conn14 (10 connections now open)
2024-08-26T08:00:42.678+0000 I COMMAND  [conn14] command myapp.sessions command: find { userId: 456 } planSummary: IXSCAN { userId: 1 } keysExamined:3 docsExamined:3 cursorExhausted:true numYields:0 nreturned:3 reslen:1500 locks:{ Global: { acquireCount: { r: 2 } }, Database: { acquireCount: { r: 1 } }, Collection: { acquireCount: { r: 1 } } } protocol:op_msg 4ms
2024-08-26T08:00:43.901+0000 I COMMAND  [conn5] command myapp.products command: find { name: { $text: { $search: "wireless headphones" } } } planSummary: IXSCAN { _fts: "text", _ftsx: 1 } keysExamined:500 docsExamined:500 cursorExhausted:true numYields:3 nreturned:25 reslen:12500 locks:{ Global: { acquireCount: { r: 8 } }, Database: { acquireCount: { r: 4 } }, Collection: { acquireCount: { r: 4 } } } protocol:op_msg 65ms
2024-08-26T08:00:44.234+0000 I NETWORK  [conn10] end connection 192.168.1.150:33445 (9 connections now open)
2024-08-26T08:00:45.567+0000 I NETWORK  [listener] connection accepted from 198.51.100.25:78901 #conn15 (10 connections now open)
2024-08-26T08:00:46.890+0000 I COMMAND  [conn15] command myapp.orders command: find { createdAt: { $gte: ISODate("2024-08-26T00:00:00Z") } } planSummary: IXSCAN { createdAt: 1 } keysExamined:2500 docsExamined:2500 cursorExhausted:true numYields:19 nreturned:500 reslen:250000 locks:{ Global: { acquireCount: { r: 40 } }, Database: { acquireCount: { r: 20 } }, Collection: { acquireCount: { r: 20 } } } protocol:op_msg 380ms
2024-08-26T08:00:47.123+0000 I COMMAND  [conn6] command myapp.reviews command: find { productId: "PROD001" } planSummary: IXSCAN { productId: 1 } keysExamined:50 docsExamined:50 cursorExhausted:true numYields:0 nreturned:50 reslen:25000 locks:{ Global: { acquireCount: { r: 2 } }, Database: { acquireCount: { r: 1 } }, Collection: { acquireCount: { r: 1 } } } protocol:op_msg 18ms
2024-08-26T08:00:48.456+0000 I NETWORK  [listener] connection accepted from 192.168.1.175:44556 #conn16 (11 connections now open)
2024-08-26T08:00:49.789+0000 I COMMAND  [conn16] command myapp.analytics command: find { eventType: "page_view", timestamp: { $gte: ISODate("2024-08-26T07:00:00Z") } } planSummary: IXSCAN { eventType: 1, timestamp: 1 } keysExamined:10000 docsExamined:10000 cursorExhausted:true numYields:78 nreturned:2000 reslen:1000000 locks:{ Global: { acquireCount: { r: 158 } }, Database: { acquireCount: { r: 79 } }, Collection: { acquireCount: { r: 79 } } } protocol:op_msg 1850ms
2024-08-26T08:00:50.012+0000 I COMMAND  [conn11] command myapp.users command: update { q: { email: "jane.smith@example.com" }, u: { $set: { verified: true } } } planSummary: IXSCAN { email: 1 } keysExamined:1 docsExamined:1 nMatched:1 nModified:1 keyUpdates:1 writeConflicts:0 numYields:0 locks:{ Global: { acquireCount: { w: 2 } }, Database: { acquireCount: { w: 2 } }, Collection: { acquireCount: { w: 2 } } } protocol:op_msg 9ms
2024-08-26T08:00:51.345+0000 I NETWORK  [conn7] end connection 10.0.0.30:55667 (10 connections now open)
2024-08-26T08:00:52.678+0000 I NETWORK  [listener] connection accepted from 10.0.0.60:33221 #conn17 (11 connections now open)
2024-08-26T08:00:53.901+0000 I COMMAND  [conn17] command myapp.products command: find { $or: [{ category: "electronics" }, { category: "computers" }] } planSummary: IXSCAN { category: 1 } keysExamined:4000 docsExamined:4000 cursorExhausted:true numYields:31 nreturned:800 reslen:400000 locks:{ Global: { acquireCount: { r: 64 } }, Database: { acquireCount: { r: 32 } }, Collection: { acquireCount: { r: 32 } } } protocol:op_msg 650ms
2024-08-26T08:00:54.234+0000 I COMMAND  [conn12] command myapp.inventory command: update { q: { sku: "ABC123" }, u: { $inc: { quantity: -1 } } } planSummary: IXSCAN { sku: 1 } keysExamined:1 docsExamined:1 nMatched:1 nModified:1 keyUpdates:1 writeConflicts:0 numYields:0 locks:{ Global: { acquireCount: { w: 2 } }, Database: { acquireCount: { w: 2 } }, Collection: { acquireCount: { w: 2 } } } protocol:op_msg 5ms
2024-08-26T08:00:55.567+0000 I NETWORK  [listener] connection accepted from 203.0.113.150:12378 #conn18 (12 connections now open)
2024-08-26T08:00:56.890+0000 I COMMAND  [conn18] command myapp.logs command: insert { documents: [{ level: "INFO", message: "User login successful", userId: 123, timestamp: ISODate("2024-08-26T08:00:56.890Z") }] } ninserted:1 keyUpdates:0 writeConflicts:0 numYields:0 locks:{ Global: { acquireCount: { w: 2 } }, Database: { acquireCount: { w: 2 } }, Collection: { acquireCount: { w: 2 } } } protocol:op_msg 3ms
2024-08-26T08:00:57.123+0000 I COMMAND  [conn8] command myapp.orders command: find { status: "pending", createdAt: { $lt: ISODate("2024-08-25T08:00:57.123Z") } } planSummary: IXSCAN { status: 1, createdAt: 1 } keysExamined:100 docsExamined:100 cursorExhausted:true numYields:0 nreturned:25 reslen:12500 locks:{ Global: { acquireCount: { r: 2 } }, Database: { acquireCount: { r: 1 } }, Collection: { acquireCount: { r: 1 } } } protocol:op_msg 22ms
2024-08-26T08:00:58.456+0000 I NETWORK  [conn13] end connection 172.16.0.75:67890 (11 connections now open)
2024-08-26T08:00:59.789+0000 I NETWORK  [listener] connection accepted from 172.16.0.100:55443 #conn19 (12 connections now open)
2024-08-26T08:01:00.012+0000 I COMMAND  [conn19] command myapp.users command: find { role: "admin" } planSummary: IXSCAN { role: 1 } keysExamined:10 docsExamined:10 cursorExhausted:true numYields:0 nreturned:5 reslen:2500 locks:{ Global: { acquireCount: { r: 2 } }, Database: { acquireCount: { r: 1 } }, Collection: { acquireCount: { r: 1 } } } protocol:op_msg 7ms
2024-08-26T08:01:01.345+0000 I COMMAND  [conn9] command myapp.products command: aggregate { pipeline: [{ $match: { inStock: true } }, { $sample: { size: 10 } }] } planSummary: COLLSCAN keysExamined:0 docsExamined:25000 cursorExhausted:true numYields:195 nreturned:10 reslen:5000 locks:{ Global: { acquireCount: { r: 392 } }, Database: { acquireCount: { r: 196 } }, Collection: { acquireCount: { r: 196 } } } protocol:op_msg 1950ms
2024-08-26T08:01:02.678+0000 I NETWORK  [listener] connection accepted from 192.168.1.220:66778 #conn20 (13 connections now open)
2024-08-26T08:01:03.901+0000 I COMMAND  [conn20] command myapp.reviews command: aggregate { pipeline: [{ $match: { rating: { $gte: 4 } } }, { $group: { _id: "$productId", avgRating: { $avg: "$rating" }, count: { $sum: 1 } } }] } planSummary: IXSCAN { rating: 1 } keysExamined:5000 docsExamined:5000 cursorExhausted:true numYields:39 nreturned:200 reslen:10000 locks:{ Global: { acquireCount: { r: 80 } }, Database: { acquireCount: { r: 40 } }, Collection: { acquireCount: { r: 40 } } } protocol:op_msg 780ms
2024-08-26T08:01:04.234+0000 I NETWORK  [conn14] end connection 127.0.0.1:61234 (12 connections now open)
2024-08-26T08:01:05.567+0000 I COMMAND  [conn15] command myapp.notifications command: update { q: { userId: 789 }, u: { $set: { read: true } } } multi:true planSummary: IXSCAN { userId: 1 } keysExamined:20 docsExamined:20 nMatched:15 nModified:15 keyUpdates:15 writeConflicts:0 numYields:0 locks:{ Global: { acquireCount: { w: 2 } }, Database: { acquireCount: { w: 2 } }, Collection: { acquireCount: { w: 2 } } } protocol:op_msg 18ms
2024-08-26T08:01:06.890+0000 I NETWORK  [listener] connection accepted from 10.0.0.85:44332 #conn21 (13 connections now open)
2024-08-26T08:01:07.123+0000 I COMMAND  [conn21] command myapp.analytics command: find { userId: 456, eventType: "purchase" } planSummary: IXSCAN { userId: 1, eventType: 1 } keysExamined:50 docsExamined:50 cursorExhausted:true numYields:0 nreturned:12 reslen:6000 locks:{ Global: { acquireCount: { r: 2 } }, Database: { acquireCount: { r: 1 } }, Collection: { acquireCount: { r: 1 } } } protocol:op_msg 14ms
2024-08-26T08:01:08.456+0000 I COMMAND  [conn6] command myapp.inventory command: find { $and: [{ quantity: { $gt: 0 } }, { price: { $lt: 100 } }] } planSummary: IXSCAN { quantity: 1, price: 1 } keysExamined:1000 docsExamined:1000 cursorExhausted:true numYields:7 nreturned:200 reslen:100000 locks:{ Global: { acquireCount: { r: 16 } }, Database: { acquireCount: { r: 8 } }, Collection: { acquireCount: { r: 8 } } } protocol:op_msg 125ms
2024-08-26T08:01:09.789+0000 I NETWORK  [conn5] end connection 127.0.0.1:60123 (12 connections now open)
2024-08-26T08:01:10.012+0000 I NETWORK  [listener] connection accepted from 198.51.100.50:99887 #conn22 (13 connections now open)
2024-08-26T08:01:11.345+0000 I COMMAND  [conn22] command myapp.users command: find { createdAt: { $gte: ISODate("2024-08-01T00:00:00Z") } } planSummary: IXSCAN { createdAt: 1 } keysExamined:3000 docsExamined:3000 cursorExhausted:true numYields:23 nreturned:600 reslen:300000 locks:{ Global: { acquireCount: { r: 48 } }, Database: { acquireCount: { r: 24 } }, Collection: { acquireCount: { r: 24 } } } protocol:op_msg 520ms
2024-08-26T08:01:12.678+0000 I COMMAND  [conn16] command myapp.orders command: update { q: { userId: 123 }, u: { $set: { shippingAddress: { street: "123 Main St", city: "Anytown", zip: "12345" } } } } multi:true planSummary: IXSCAN { userId: 1 } keysExamined:10 docsExamined:10 nMatched:5 nModified:5 keyUpdates:5 writeConflicts:0 numYields:0 locks:{ Global: { acquireCount: { w: 2 } }, Database: { acquireCount: { w: 2 } }, Collection: { acquireCount: { w: 2 } } } protocol:op_msg 28ms
2024-08-26T08:01:13.901+0000 I NETWORK  [listener] connection accepted from 172.16.0.125:77665 #conn23 (14 connections now open)
2024-08-26T08:01:14.234+0000 I COMMAND  [conn23] command myapp.products command: find { supplier: "TechCorp", status: "active" } planSummary: IXSCAN { supplier: 1, status: 1 } keysExamined:500 docsExamined:500 cursorExhausted:true numYields:3 nreturned:100 reslen:50000 locks:{ Global: { acquireCount: { r: 8 } }, Database: { acquireCount: { r: 4 } }, Collection: { acquireCount: { r: 4 } } } protocol:op_msg 75ms
2024-08-26T08:01:15.567+0000 I COMMAND  [conn11] command myapp.sessions command: remove { query: { userId: 999 } } planSummary: IXSCAN { userId: 1 } keysExamined:1 docsExamined:1 nremoved:1 keyUpdates:1 writeConflicts:0 numYields:0 locks:{ Global: { acquireCount: { w: 2 } }, Database: { acquireCount: { w: 2 } }, Collection: { acquireCount: { w: 2 } } } protocol:op_msg 8ms
2024-08-26T08:01:16.890+0000 I NETWORK  [conn17] end connection 10.0.0.60:33221 (13 connections now open)
2024-08-26T08:01:17.123+0000 I COMMAND  [conn12] command myapp.logs command: find { level: "ERROR", component: "auth" } planSummary: IXSCAN { level: 1, component: 1 } keysExamined:25 docsExamined:25 cursorExhausted:true numYields:0 nreturned:25 reslen:12500 locks:{ Global: { acquireCount: { r: 2 } }, Database: { acquireCount: { r: 1 } }, Collection: { acquireCount: { r: 1 } } } protocol:op_msg 12ms
2024-08-26T08:01:18.456+0000 I NETWORK  [listener] connection accepted from 203.0.113.200:11223 #conn24 (14 connections now open)
2024-08-26T08:01:19.789+0000 I COMMAND  [conn24] command myapp.reviews command: find { userId: 456 } planSummary: IXSCAN { userId: 1 } keysExamined:15 docsExamined:15 cursorExhausted:true numYields:0 nreturned:15 reslen:7500 locks:{ Global: { acquireCount: { r: 2 } }, Database: { acquireCount: { r: 1 } }, Collection: { acquireCount: { r: 1 } } } protocol:op_msg 6ms
2024-08-26T08:01:20.012+0000 I COMMAND  [conn18] command myapp.analytics command: aggregate { pipeline: [{ $match: { date: ISODate("2024-08-26") } }, { $group: { _id: "$source", visitors: { $addToSet: "$userId" } } }, { $project: { _id: 1, uniqueVisitors: { $size: "$visitors" } } }] } planSummary: IXSCAN { date: 1 } keysExamined:8000 docsExamined:8000 cursorExhausted:true numYields:62 nreturned:5 reslen:250 locks:{ Global: { acquireCount: { r: 126 } }, Database: { acquireCount: { r: 63 } }, Collection: { acquireCount: { r: 63 } } } protocol:op_msg 1200ms
2024-08-26T08:01:21.345+0000 I NETWORK  [conn8] end connection 172.16.0.50:23456 (13 connections now open)
2024-08-26T08:01:22.678+0000 I NETWORK  [listener] connection accepted from 192.168.1.250:88990 #conn25 (14 connections now open)
2024-08-26T08:01:23.901+0000 I COMMAND  [conn25] command myapp.notifications command: insert { documents: [{ userId: 789, type: "order_shipped", message: "Your order has been shipped", createdAt: ISODate("2024-08-26T08:01:23.901Z") }] } ninserted:1 keyUpdates:0 writeConflicts:0 numYields:0 locks:{ Global: { acquireCount: { w: 2 } }, Database: { acquireCount: { w: 2 } }, Collection: { acquireCount: { w: 2 } } } protocol:op_msg 4ms
2024-08-26T08:01:24.234+0000 I COMMAND  [conn19] command myapp.products command: find { featured: true } planSummary: IXSCAN { featured: 1 } keysExamined:50 docsExamined:50 cursorExhausted:true numYields:0 nreturned:20 reslen:10000 locks:{ Global: { acquireCount: { r: 2 } }, Database: { acquireCount: { r: 1 } }, Collection: { acquireCount: { r: 1 } } } protocol:op_msg 11ms
2024-08-26T08:01:25.567+0000 I NETWORK  [listener] connection accepted from 10.0.0.120:55544 #conn26 (15 connections now open)
2024-08-26T08:01:26.890+0000 I COMMAND  [conn26] command myapp.inventory command: find { category: "books", quantity: { $gt: 5 } } planSummary: IXSCAN { category: 1, quantity: 1 } keysExamined:800 docsExamined:800 cursorExhausted:true numYields:6 nreturned:160 reslen:80000 locks:{ Global: { acquireCount: { r: 14 } }, Database: { acquireCount: { r: 7 } }, Collection: { acquireCount: { r: 7 } } } protocol:op_msg 105ms
2024-08-26T08:01:27.123+0000 I COMMAND  [conn9] command myapp.users command: find { preferences.newsletter: true } planSummary: IXSCAN { preferences.newsletter: 1 } keysExamined:2000 docsExamined:2000 cursorExhausted:true numYields:15 nreturned:400 reslen:200000 locks:{ Global: { acquireCount: { r: 32 } }, Database: { acquireCount: { r: 16 } }, Collection: { acquireCount: { r: 16 } } } protocol:op_msg 290ms
2024-08-26T08:01:28.456+0000 I NETWORK  [conn15] end connection 198.51.100.25:78901 (14 connections now open)
2024-08-26T08:01:29.789+0000 I COMMAND  [conn20] command myapp.orders command: find { paymentStatus: "pending" } planSummary: IXSCAN { paymentStatus: 1 } keysExamined:100 docsExamined:100 cursorExhausted:true numYields:0 nreturned:30 reslen:15000 locks:{ Global: { acquireCount: { r: 2 } }, Database: { acquireCount: { r: 1 } }, Collection: { acquireCount: { r: 1 } } } protocol:op_msg 17ms
2024-08-26T08:01:30.012+0000 I NETWORK  [listener] connection accepted from 172.16.0.150:33444 #conn27 (15 connections now open)
2024-08-26T08:01:31.345+0000 I COMMAND  [conn27] command myapp.analytics command: find { eventType: "error", severity: "high" } planSummary: IXSCAN { eventType: 1, severity: 1 } keysExamined:50 docsExamined:50 cursorExhausted:true numYields:0 nreturned:10 reslen:5000 locks:{ Global: { acquireCount: { r: 2 } }, Database: { acquireCount: { r: 1 } }, Collection: { acquireCount: { r: 1 } } } protocol:op_msg 9ms
2024-08-26T08:01:32.678+0000 I COMMAND  [conn21] command myapp.products command: update { q: { _id: ObjectId("64e9b8c7f123456789abcd02") }, u: { $inc: { views: 1 } } } planSummary: IDHACK keysExamined:1 docsExamined:1 nMatched:1 nModified:1 keyUpdates:1 writeConflicts:0 numYields:0 locks:{ Global: { acquireCount: { w: 2 } }, Database: { acquireCount: { w: 2 } }, Collection: { acquireCount: { w: 2 } } } protocol:op_msg 7ms
2024-08-26T08:01:33.901+0000 I NETWORK  [listener] connection accepted from 198.51.100.75:22111 #conn28 (16 connections now open)
2024-08-26T08:01:34.234+0000 I COMMAND  [conn28] command myapp.sessions command: find { expiresAt: { $gte: ISODate("2024-08-26T08:01:34.234Z") } } planSummary: IXSCAN { expiresAt: 1 } keysExamined:500 docsExamined:500 cursorExhausted:true numYields:3 nreturned:300 reslen:150000 locks:{ Global: { acquireCount: { r: 8 } }, Database: { acquireCount: { r: 4 } }, Collection: { acquireCount: { r: 4 } } } protocol:op_msg 85ms
2024-08-26T08:01:35.567+0000 I COMMAND  [conn6] command myapp.reviews command: aggregate { pipeline: [{ $match: { productId: "PROD002" } }, { $group: { _id: "$rating", count: { $sum: 1 } } }, { $sort: { _id: -1 } }] } planSummary: IXSCAN { productId: 1 } keysExamined:100 docsExamined:100 cursorExhausted:true numYields:0 nreturned:5 reslen:250 locks:{ Global: { acquireCount: { r: 2 } }, Database: { acquireCount: { r: 1 } }, Collection: { acquireCount: { r: 1 } } } protocol:op_msg 24ms
2024-08-26T08:01:36.890+0000 I NETWORK  [conn16] end connection 192.168.1.175:44556 (15 connections now open)
