2024-08-26T08:00:01.123+0000 I CONTROL  [initandlisten] MongoDB starting : pid=12345 port=27017 dbpath=/data/db 64-bit host=mongodb-server
2024-08-26T08:00:18.456+0000 I COMMAND  [conn5] command development.test_data command: find { category: "testing" } planSummary: COLLSCAN keysExamined:0 docsExamined:1000 cursorExhausted:true numYields:7 nreturned:50 reslen:25000 locks:{ Global: { acquireCount: { r: 16 } }, Database: { acquireCount: { r: 8 } }, Collection: { acquireCount: { r: 8 } } } protocol:op_msg 120ms
2024-08-26T08:00:19.789+0000 I COMMAND  [conn2] command ecommerce.products command: find { featured: true } planSummary: IXSCAN { featured: 1 } keysExamined:50 docsExamined:50 cursorExhausted:true numYields:0 nreturned:20 reslen:10000 locks:{ Global: { acquireCount: { r: 2 } }, Database: { acquireCount: { r: 1 } }, Collection: { acquireCount: { r: 1 } } } protocol:op_msg 25ms
2024-08-26T08:00:20.012+0000 I NETWORK  [listener] connection accepted from 192.168.1.200:41234 #conn6 (6 connections now open)
2024-08-26T08:00:21.345+0000 I ACCESS   [conn6] Successfully authenticated as principal reportUser on reporting
2024-08-26T08:00:22.678+0000 I COMMAND  [conn6] command reporting.sales_summary command: find { month: "2024-08" } planSummary: IXSCAN { month: 1 } keysExamined:31 docsExamined:31 cursorExhausted:true numYields:0 nreturned:31 reslen:15500 locks:{ Global: { acquireCount: { r: 2 } }, Database: { acquireCount: { r: 1 } }, Collection: { acquireCount: { r: 1 } } } protocol:op_msg 18ms
2024-08-26T08:00:23.901+0000 I COMMAND  [conn1] command admin.users command: find { role: "admin" } planSummary: IXSCAN { role: 1 } keysExamined:5 docsExamined:5 cursorExhausted:true numYields:0 nreturned:5 reslen:2500 locks:{ Global: { acquireCount: { r: 2 } }, Database: { acquireCount: { r: 1 } }, Collection: { acquireCount: { r: 1 } } } protocol:op_msg 12ms
2024-08-26T08:00:24.234+0000 I NETWORK  [listener] connection accepted from 10.0.0.30:55667 #conn7 (7 connections now open)
2024-08-26T08:00:25.567+0000 I ACCESS   [conn7] Failed to authenticate hackUser on ecommerce with mechanism SCRAM-SHA-1: AuthenticationFailed: Authentication failed
2024-08-26T08:00:26.890+0000 I NETWORK  [conn7] end connection 10.0.0.30:55667 (6 connections now open)
2024-08-26T08:00:27.123+0000 I COMMAND  [conn3] command analytics.user_behavior command: aggregate { pipeline: [{ $match: { userId: { $exists: true } } }, { $group: { _id: "$action", count: { $sum: 1 } } }] } planSummary: IXSCAN { userId: 1 } keysExamined:10000 docsExamined:10000 cursorExhausted:true numYields:78 nreturned:15 reslen:750 locks:{ Global: { acquireCount: { r: 158 } }, Database: { acquireCount: { r: 79 } }, Collection: { acquireCount: { r: 79 } } } protocol:op_msg 1200ms
2024-08-26T08:00:28.456+0000 I NETWORK  [listener] connection accepted from 172.16.0.50:23456 #conn8 (7 connections now open)
2024-08-26T08:00:29.789+0000 I ACCESS   [conn8] Successfully authenticated as principal backupUser on admin
2024-08-26T08:00:30.012+0000 I COMMAND  [conn8] command admin.$cmd command: listDatabases { listDatabases: 1 } keyUpdates:0 writeConflicts:0 numYields:0 reslen:431 locks:{} protocol:op_msg 8ms
2024-08-26T08:00:31.345+0000 I COMMAND  [conn4] command ecommerce.inventory command: update { q: { sku: "ABC123" }, u: { $inc: { quantity: -1 } } } planSummary: IXSCAN { sku: 1 } keysExamined:1 docsExamined:1 nMatched:1 nModified:1 keyUpdates:1 writeConflicts:0 numYields:0 locks:{ Global: { acquireCount: { w: 2 } }, Database: { acquireCount: { w: 2 } }, Collection: { acquireCount: { w: 2 } } } protocol:op_msg 15ms
2024-08-26T08:00:32.678+0000 I NETWORK  [listener] connection accepted from 198.51.100.10:44789 #conn9 (8 connections now open)
2024-08-26T08:00:33.901+0000 I ACCESS   [conn9] Successfully authenticated as principal apiUser on ecommerce
2024-08-26T08:00:34.234+0000 I COMMAND  [conn9] command ecommerce.customers command: find { email: "customer@example.com" } planSummary: IXSCAN { email: 1 } keysExamined:1 docsExamined:1 cursorExhausted:true numYields:0 nreturned:1 reslen:500 locks:{ Global: { acquireCount: { r: 2 } }, Database: { acquireCount: { r: 1 } }, Collection: { acquireCount: { r: 1 } } } protocol:op_msg 8ms
2024-08-26T08:00:35.567+0000 I COMMAND  [conn5] command development.experiments command: insert { documents: [{ name: "feature_test", enabled: true }] } ninserted:1 keyUpdates:0 writeConflicts:0 numYields:0 locks:{ Global: { acquireCount: { w: 2 } }, Database: { acquireCount: { w: 2 } }, Collection: { acquireCount: { w: 2 } } } protocol:op_msg 6ms
2024-08-26T08:00:36.890+0000 I NETWORK  [listener] connection accepted from 192.168.1.150:33445 #conn10 (9 connections now open)
2024-08-26T08:00:37.123+0000 I ACCESS   [conn10] Successfully authenticated as principal monitorUser on monitoring
2024-08-26T08:00:38.456+0000 I COMMAND  [conn10] command monitoring.server_stats command: find { timestamp: { $gte: ISODate("2024-08-26T07:00:00Z") } } planSummary: IXSCAN { timestamp: 1 } keysExamined:3600 docsExamined:3600 cursorExhausted:true numYields:28 nreturned:3600 reslen:1800000 locks:{ Global: { acquireCount: { r: 58 } }, Database: { acquireCount: { r: 29 } }, Collection: { acquireCount: { r: 29 } } } protocol:op_msg 650ms
2024-08-26T08:00:39.789+0000 I COMMAND  [conn6] command reporting.user_activity command: aggregate { pipeline: [{ $match: { date: ISODate("2024-08-26") } }, { $group: { _id: "$userId", sessions: { $sum: 1 } } }] } planSummary: IXSCAN { date: 1 } keysExamined:5000 docsExamined:5000 cursorExhausted:true numYields:39 nreturned:1200 reslen:60000 locks:{ Global: { acquireCount: { r: 80 } }, Database: { acquireCount: { r: 40 } }, Collection: { acquireCount: { r: 40 } } } protocol:op_msg 780ms
2024-08-26T08:00:40.012+0000 I NETWORK  [conn2] end connection 10.0.0.15:43256 (8 connections now open)
2024-08-26T08:00:41.345+0000 I NETWORK  [listener] connection accepted from 203.0.113.100:56789 #conn11 (9 connections now open)
2024-08-26T08:00:42.678+0000 I ACCESS   [conn11] Successfully authenticated as principal dataScientist on analytics
2024-08-26T08:00:43.901+0000 I COMMAND  [conn11] command analytics.machine_learning command: find { model: "recommendation_engine", status: "trained" } planSummary: IXSCAN { model: 1, status: 1 } keysExamined:50 docsExamined:50 cursorExhausted:true numYields:0 nreturned:5 reslen:2500 locks:{ Global: { acquireCount: { r: 2 } }, Database: { acquireCount: { r: 1 } }, Collection: { acquireCount: { r: 1 } } } protocol:op_msg 22ms
2024-08-26T08:00:44.234+0000 I COMMAND  [conn8] command ecommerce.orders command: find { status: "pending" } planSummary: IXSCAN { status: 1 } keysExamined:100 docsExamined:100 cursorExhausted:true numYields:0 nreturned:25 reslen:12500 locks:{ Global: { acquireCount: { r: 2 } }, Database: { acquireCount: { r: 1 } }, Collection: { acquireCount: { r: 1 } } } protocol:op_msg 18ms
2024-08-26T08:00:45.567+0000 I NETWORK  [listener] connection accepted from 10.0.0.45:22334 #conn12 (10 connections now open)
2024-08-26T08:00:46.890+0000 I ACCESS   [conn12] Failed to authenticate testUser on ecommerce with mechanism SCRAM-SHA-1: AuthenticationFailed: Authentication failed
2024-08-26T08:00:47.123+0000 I ACCESS   [conn12] Successfully authenticated as principal supportUser on support
2024-08-26T08:00:48.456+0000 I COMMAND  [conn12] command support.tickets command: find { status: "open", priority: "high" } planSummary: IXSCAN { status: 1, priority: 1 } keysExamined:25 docsExamined:25 cursorExhausted:true numYields:0 nreturned:8 reslen:4000 locks:{ Global: { acquireCount: { r: 2 } }, Database: { acquireCount: { r: 1 } }, Collection: { acquireCount: { r: 1 } } } protocol:op_msg 12ms
2024-08-26T08:00:49.789+0000 I COMMAND  [conn9] command ecommerce.reviews command: insert { documents: [{ productId: "PROD001", userId: 456, rating: 5, comment: "Excellent!" }] } ninserted:1 keyUpdates:0 writeConflicts:0 numYields:0 locks:{ Global: { acquireCount: { w: 2 } }, Database: { acquireCount: { w: 2 } }, Collection: { acquireCount: { w: 2 } } } protocol:op_msg 9ms
2024-08-26T08:00:50.012+0000 I NETWORK  [listener] connection accepted from 172.16.0.75:67890 #conn13 (11 connections now open)
2024-08-26T08:00:51.345+0000 I ACCESS   [conn13] Successfully authenticated as principal cacheUser on cache
2024-08-26T08:00:52.678+0000 I COMMAND  [conn13] command cache.sessions command: find { expiresAt: { $gte: ISODate("2024-08-26T08:00:52Z") } } planSummary: IXSCAN { expiresAt: 1 } keysExamined:500 docsExamined:500 cursorExhausted:true numYields:3 nreturned:300 reslen:150000 locks:{ Global: { acquireCount: { r: 8 } }, Database: { acquireCount: { r: 4 } }, Collection: { acquireCount: { r: 4 } } } protocol:op_msg 85ms
2024-08-26T08:00:53.901+0000 I COMMAND  [conn4] command ecommerce.products command: find { category: "electronics", inStock: true } planSummary: IXSCAN { category: 1, inStock: 1 } keysExamined:200 docsExamined:200 cursorExhausted:true numYields:1 nreturned:150 reslen:75000 locks:{ Global: { acquireCount: { r: 4 } }, Database: { acquireCount: { r: 2 } }, Collection: { acquireCount: { r: 2 } } } protocol:op_msg 38ms
2024-08-26T08:00:54.234+0000 I NETWORK  [conn3] end connection 172.16.0.25:34567 (10 connections now open)
2024-08-26T08:00:55.567+0000 I NETWORK  [listener] connection accepted from 198.51.100.25:78901 #conn14 (11 connections now open)
2024-08-26T08:00:56.890+0000 I ACCESS   [conn14] Successfully authenticated as principal integrationUser on integrations
2024-08-26T08:00:57.123+0000 I COMMAND  [conn14] command integrations.webhooks command: find { active: true } planSummary: IXSCAN { active: 1 } keysExamined:50 docsExamined:50 cursorExhausted:true numYields:0 nreturned:12 reslen:6000 locks:{ Global: { acquireCount: { r: 2 } }, Database: { acquireCount: { r: 1 } }, Collection: { acquireCount: { r: 1 } } } protocol:op_msg 14ms
2024-08-26T08:00:58.456+0000 I COMMAND  [conn10] command monitoring.alerts command: insert { documents: [{ type: "performance", message: "High memory usage detected", severity: "warning" }] } ninserted:1 keyUpdates:0 writeConflicts:0 numYields:0 locks:{ Global: { acquireCount: { w: 2 } }, Database: { acquireCount: { w: 2 } }, Collection: { acquireCount: { w: 2 } } } protocol:op_msg 7ms
2024-08-26T08:00:59.789+0000 I COMMAND  [conn11] command analytics.predictions command: aggregate { pipeline: [{ $match: { model: "sales_forecast" } }, { $sort: { confidence: -1 } }, { $limit: 100 }] } planSummary: IXSCAN { model: 1 } keysExamined:1000 docsExamined:1000 cursorExhausted:true numYields:7 nreturned:100 reslen:50000 locks:{ Global: { acquireCount: { r: 16 } }, Database: { acquireCount: { r: 8 } }, Collection: { acquireCount: { r: 8 } } } protocol:op_msg 145ms
2024-08-26T08:01:00.012+0000 I NETWORK  [listener] connection accepted from 192.168.1.220:66778 #conn15 (12 connections now open)
2024-08-26T08:01:01.345+0000 I ACCESS   [conn15] Successfully authenticated as principal auditUser on audit
2024-08-26T08:01:02.678+0000 I COMMAND  [conn15] command audit.access_logs command: insert { documents: [{ userId: "adminUser", action: "database_access", database: "ecommerce", timestamp: ISODate("2024-08-26T08:01:02Z") }] } ninserted:1 keyUpdates:0 writeConflicts:0 numYields:0 locks:{ Global: { acquireCount: { w: 2 } }, Database: { acquireCount: { w: 2 } }, Collection: { acquireCount: { w: 2 } } } protocol:op_msg 5ms
2024-08-26T08:01:03.901+0000 I COMMAND  [conn5] command development.feature_flags command: find { enabled: true, environment: "production" } planSummary: IXSCAN { enabled: 1, environment: 1 } keysExamined:20 docsExamined:20 cursorExhausted:true numYields:0 nreturned:15 reslen:7500 locks:{ Global: { acquireCount: { r: 2 } }, Database: { acquireCount: { r: 1 } }, Collection: { acquireCount: { r: 1 } } } protocol:op_msg 11ms
2024-08-26T08:01:04.234+0000 I NETWORK  [conn6] end connection 192.168.1.200:41234 (11 connections now open)
2024-08-26T08:01:05.567+0000 I COMMAND  [conn12] command support.knowledge_base command: find { $text: { $search: "password reset" } } planSummary: IXSCAN { _fts: "text", _ftsx: 1 } keysExamined:50 docsExamined:50 cursorExhausted:true numYields:0 nreturned:8 reslen:4000 locks:{ Global: { acquireCount: { r: 2 } }, Database: { acquireCount: { r: 1 } }, Collection: { acquireCount: { r: 1 } } } protocol:op_msg 26ms
2024-08-26T08:01:06.890+0000 I NETWORK  [listener] connection accepted from 203.0.113.150:12378 #conn16 (12 connections now open)
2024-08-26T08:01:07.123+0000 I ACCESS   [conn16] Successfully authenticated as principal readUser on readonly
2024-08-26T08:01:08.456+0000 I COMMAND  [conn16] command readonly.archived_data command: find { year: 2023 } planSummary: IXSCAN { year: 1 } keysExamined:12000 docsExamined:12000 cursorExhausted:true numYields:93 nreturned:12000 reslen:6000000 locks:{ Global: { acquireCount: { r: 188 } }, Database: { acquireCount: { r: 94 } }, Collection: { acquireCount: { r: 94 } } } protocol:op_msg 2300ms
2024-08-26T08:01:09.789+0000 I COMMAND  [conn13] command cache.user_sessions command: update { q: { userId: 789 }, u: { $set: { lastActivity: ISODate("2024-08-26T08:01:09Z") } } } planSummary: IXSCAN { userId: 1 } keysExamined:1 docsExamined:1 nMatched:1 nModified:1 keyUpdates:1 writeConflicts:0 numYields:0 locks:{ Global: { acquireCount: { w: 2 } }, Database: { acquireCount: { w: 2 } }, Collection: { acquireCount: { w: 2 } } } protocol:op_msg 8ms
2024-08-26T08:01:10.012+0000 I NETWORK  [conn1] end connection 192.168.1.100:52341 (11 connections now open)
2024-08-26T08:01:11.345+0000 I COMMAND  [conn9] command ecommerce.shopping_cart command: find { userId: 456, status: "active" } planSummary: IXSCAN { userId: 1, status: 1 } keysExamined:5 docsExamined:5 cursorExhausted:true numYields:0 nreturned:1 reslen:500 locks:{ Global: { acquireCount: { r: 2 } }, Database: { acquireCount: { r: 1 } }, Collection: { acquireCount: { r: 1 } } } protocol:op_msg 6ms
2024-08-26T08:01:12.678+0000 I NETWORK  [listener] connection accepted from 10.0.0.85:44332 #conn17 (12 connections now open)
2024-08-26T08:01:13.901+0000 I ACCESS   [conn17] Successfully authenticated as principal queueWorker on jobs
2024-08-26T08:01:14.234+0000 I COMMAND  [conn17] command jobs.email_queue command: find { status: "pending", priority: { $gte: 5 } } planSummary: IXSCAN { status: 1, priority: 1 } keysExamined:50 docsExamined:50 cursorExhausted:true numYields:0 nreturned:25 reslen:12500 locks:{ Global: { acquireCount: { r: 2 } }, Database: { acquireCount: { r: 1 } }, Collection: { acquireCount: { r: 1 } } } protocol:op_msg 15ms
2024-08-26T08:01:15.567+0000 I COMMAND  [conn14] command integrations.api_logs command: insert { documents: [{ endpoint: "/api/orders", method: "POST", responseCode: 201, duration: 45 }] } ninserted:1 keyUpdates:0 writeConflicts:0 numYields:0 locks:{ Global: { acquireCount: { w: 2 } }, Database: { acquireCount: { w: 2 } }, Collection: { acquireCount: { w: 2 } } } protocol:op_msg 4ms
2024-08-26T08:01:16.890+0000 I COMMAND  [conn8] command admin.system_info command: find { component: "database", metric: "connections" } planSummary: IXSCAN { component: 1, metric: 1 } keysExamined:1 docsExamined:1 cursorExhausted:true numYields:0 nreturned:1 reslen:500 locks:{ Global: { acquireCount: { r: 2 } }, Database: { acquireCount: { r: 1 } }, Collection: { acquireCount: { r: 1 } } } protocol:op_msg 3ms
2024-08-26T08:01:17.123+0000 I NETWORK  [conn4] end connection 203.0.113.45:12345 (11 connections now open)
2024-08-26T08:01:18.456+0000 I COMMAND  [conn15] command audit.user_actions command: find { userId: "dataAnalyst", timestamp: { $gte: ISODate("2024-08-26T07:00:00Z") } } planSummary: IXSCAN { userId: 1, timestamp: 1 } keysExamined:100 docsExamined:100 cursorExhausted:true numYields:0 nreturned:50 reslen:25000 locks:{ Global: { acquireCount: { r: 2 } }, Database: { acquireCount: { r: 1 } }, Collection: { acquireCount: { r: 1 } } } protocol:op_msg 19ms
2024-08-26T08:01:19.789+0000 I NETWORK  [listener] connection accepted from 192.168.1.250:88990 #conn18 (12 connections now open)
2024-08-26T08:01:20.012+0000 I ACCESS   [conn18] Successfully authenticated as principal migrationUser on migration
2024-08-26T08:01:21.345+0000 I COMMAND  [conn18] command migration.data_transfer command: aggregate { pipeline: [{ $match: { status: "completed" } }, { $count: "total" }] } planSummary: IXSCAN { status: 1 } keysExamined:5000 docsExamined:5000 cursorExhausted:true numYields:39 nreturned:1 reslen:50 locks:{ Global: { acquireCount: { r: 80 } }, Database: { acquireCount: { r: 40 } }, Collection: { acquireCount: { r: 40 } } } protocol:op_msg 680ms
